"Início dos relatórios","Encerramento dos relatórios","Nome da campanha","Veiculação da campanha",Resultados,"Indicador de resultados","Custo por resultados","Orçamento do conjunto de anúncios","Tipo de orçamento do conjunto de anúncios","Valor usado (BRL)",Impressões,Alcance,Término,"Configuração de atribuição"
2024-07-01,2026-05-06,"Instagram post: Fez a inscrição ? Preocupado com...",inactive,138,actions:link_click,0.72818841,18,Diário,100.49,5364,4399,Contínuo,"Clique de 7 dias ou visualização de 1 dia"
2024-07-01,2026-05-06,"CONSULTAS - ABRIL",inactive,1390,profile_visit_view,0.41416547,"Usando o orçamento do conjunto de anúncios",0,575.69,44263,28740,Contínuo,"Clique de 7 dias ou visualização de 1 dia"
2024-07-01,2026-05-06,"ELETRÓLITOS - MAIO",inactive,320,actions:offsite_conversion.fb_pixel_add_to_cart,1.74465625,"Usando o orçamento do conjunto de anúncios",0,558.29,39041,20721,Contínuo,"Clique de 7 dias, visualização de 1 dia ou visualização com engajamento de 1 dia"
2024-07-01,2026-05-06,"ELETRÓLITOS - MAIO",inactive,,,,"Usando o orçamento do conjunto de anúncios",0,14.92,746,671,Contínuo,"Clique de 7 dias, visualização de 1 dia ou visualização com engajamento de 1 dia"
2024-07-01,2026-05-06,"DIRETO SITE - MAIO",inactive,,,,"Usando o orçamento do conjunto de anúncios",0,156.77,9397,7005,Contínuo,"Clique de 7 dias ou visualização de 1 dia"
2024-07-01,2026-05-06,"DIRETO NO PERFIL — Cópia do site.",inactive,1217,profile_visit_view,0.33593262,"Usando o orçamento do conjunto de anúncios",0,408.83,42024,29853,Contínuo,"Clique de 7 dias ou visualização de 1 dia"
2024-07-01,2026-05-06,"Instagram post: Sim, é possível emagrecer e...",inactive,317,actions:link_click,0.37006309,17,Diário,117.31,15950,11599,Contínuo,"Clique de 7 dias ou visualização de 1 dia"
2024-07-01,2026-05-06,"Instagram post: Atletas de Endurance precisam...",archived,4410,actions:link_click,0.0835102,15,Diário,368.28,61281,44956,2025-08-30,"Clique de 7 dias ou visualização de 1 dia"
2024-07-01,2026-05-06,"CÓPIA - ELETRÓLITOS - MAIO",inactive,36,actions:offsite_conversion.fb_pixel_add_to_cart,1.97222222,"Usando o orçamento do conjunto de anúncios",0,71,4354,3578,Contínuo,"Clique de 7 dias, visualização de 1 dia ou visualização com engajamento de 1 dia"
2024-07-01,2026-05-06,"ALINHAMENTO - PLANO ESPECÍFICO",inactive,,,,"Usando o orçamento do conjunto de anúncios",0,80.87,4283,3365,Contínuo,"Clique de 7 dias ou visualização de 1 dia"
2024-07-01,2026-05-06,"[CARINAMASSA][ENGAJAMENTO][CONSULTA] - 21052025",inactive,18,conversions:contact_website,20.01722222,50,Diário,360.31,15548,8938,Contínuo,"Clique de 7 dias, visualização de 1 dia ou visualização com engajamento de 1 dia"
2024-07-01,2026-05-06,"Instagram post: Alowwwww TRIATLETAS e ASPIRANTES....",archived,403,actions:link_click,0.291067,34,Diário,117.3,10426,8454,2025-06-02,"Clique de 7 dias ou visualização de 1 dia"
2024-07-01,2026-05-06,"Instagram post: Alowwwww TRIATLETAS e ASPIRANTES....",archived,915,actions:link_click,0.19534426,52,Diário,178.74,20402,15836,2025-06-02,"Clique de 7 dias ou visualização de 1 dia"
2024-07-01,2026-05-06,"Instagram post: O poste está mijando no cachorro....",inactive,331,actions:link_click,0.38138973,34,Diário,126.24,11696,8659,Contínuo,"Clique de 7 dias ou visualização de 1 dia"
2024-07-01,2026-05-06,"Instagram post: ‼️A hora chegou, foram meses de...",archived,473,actions:link_click,0.29422833,46,Diário,139.17,39434,31588,2025-06-02,"Clique de 7 dias ou visualização de 1 dia"
2024-07-01,2026-05-06,"Instagram post: Para  manter - se aquecido, o...",completed,75,actions:link_click,0.6116,46,Total,45.87,3123,2960,2025-06-02,"Clique de 7 dias ou visualização de 1 dia"
2024-07-01,2026-05-06,"Instagram post: Para  manter - se aquecido, o...",inactive,52,actions:link_click,0.13980769,17,Diário,7.27,1087,1074,Contínuo,"Clique de 7 dias ou visualização de 1 dia"
2024-07-01,2026-05-06,"PERIODIZAÇÃO 2º SEMESTRE",inactive,2300,actions:omni_landing_page_view,0.51873913,"Usando o orçamento do conjunto de anúncios",0,1193.1,71578,53153,Contínuo,"Clique de 7 dias ou visualização de 1 dia"
2024-07-01,2026-05-06,"MENSAGENS WHATSAPP",inactive,9,actions:onsite_conversion.messaging_conversation_started_7d,16.82777778,"Usando o orçamento do conjunto de anúncios",0,151.45,1534,858,Contínuo,"Clique de 7 dias ou visualização de 1 dia"
2024-07-01,2026-05-06,"DIRETO NO PERFIL",inactive,615,profile_visit_view,0.77590244,"Usando o orçamento do conjunto de anúncios",0,477.18,51217,29915,Contínuo,"Clique de 7 dias ou visualização de 1 dia"
2024-07-01,2026-05-06,MARATONA,inactive,959,profile_visit_view,0.60542231,"Usando o orçamento do conjunto de anúncios",0,580.6,40713,28002,Contínuo,"Clique de 7 dias ou visualização de 1 dia"
2024-07-01,2026-05-06,"Instagram post: A periodização nutricional é a...",completed,477,actions:link_click,0.48186583,230,Total,229.85,22338,14382,2025-06-18,"Clique de 7 dias ou visualização de 1 dia"
2024-07-01,2026-05-06,"Instagram post: A periodização nutricional é a...",archived,,,,161,Total,79.53,14189,8236,2025-06-12,"Clique de 7 dias ou visualização de 1 dia"
2024-07-01,2026-05-06,"Instagram post: 🏃‍♀️MEIA MARATONA ou...",inactive,,,,42,Diário,0.04,3,2,Contínuo,"Clique de 7 dias ou visualização de 1 dia"
2024-07-01,2026-05-06,"PLANO PERFEITO",inactive,400,actions:link_click,0.223825,"Usando o orçamento do conjunto de anúncios",0,89.53,13720,12813,Contínuo,"Clique de 7 dias ou visualização de 1 dia"
2024-07-01,2026-05-06,"PERIODIZAÇÃO 2º SEMESTRE - cópia",inactive,5,actions:onsite_conversion.messaging_conversation_started_7d,43.462,"Usando o orçamento do conjunto de anúncios",0,217.31,2199,1320,Contínuo,"Clique de 7 dias ou visualização de 1 dia"
2024-07-01,2026-05-06,"PERIODIZAÇÃO 2º SEMESTRE — Cópia",archived,1851,actions:link_click,0.17425716,"Usando o orçamento do conjunto de anúncios",0,322.55,45727,31392,2025-08-30,"Clique de 7 dias ou visualização de 1 dia"
2024-07-01,2026-05-06,"Instagram post: 😱Mentira que você vai fazer sua...",archived,,,,19,Diário,26.46,1514,881,2025-06-22,"Clique de 7 dias ou visualização de 1 dia"
2024-07-01,2026-05-06,"Instagram post: 🧬⬆️OTIMIZE A SUA SAÚDE PARA OBTER...",archived,138,actions:link_click,0.23072464,22,Diário,31.84,3384,3023,2025-06-22,"Clique de 7 dias ou visualização de 1 dia"
2024-07-01,2026-05-06,"Instagram post: A periodização nutricional é a...",inactive,210,actions:link_click,0.55980952,230,Total,117.56,11033,8722,2025-07-01,"Clique de 7 dias ou visualização de 1 dia"
2024-07-01,2026-05-06,"Instagram post: 🧬⬆️OTIMIZE A SUA SAÚDE PARA OBTER...",completed,154,actions:link_click,0.5387013,83,Total,82.96,7494,6359,2025-06-22,"Clique de 7 dias ou visualização de 1 dia"
2024-07-01,2026-05-06,"Instagram post: 🧬⬆️OTIMIZE A SUA SAÚDE PARA OBTER...",completed,85,actions:link_click,0.79847059,68,Total,67.87,5100,4025,2025-06-29,"Clique de 7 dias ou visualização de 1 dia"
2024-07-01,2026-05-06,"PERIODIZAÇÃO 2º SEMESTRE — Cópia",inactive,551,profile_visit_view,0.39911071,"Usando o orçamento do conjunto de anúncios",0,219.91,15347,11079,Contínuo,"Clique de 7 dias ou visualização de 1 dia"
2024-07-01,2026-05-06,"Publicação do Instagram: De uma forma...",inactive,108,actions:link_click,0.63796296,110,Total,68.9,8137,6210,2025-07-09,"Clique de 7 dias ou visualização de 1 dia"
2024-07-01,2026-05-06,"Publicação do Instagram: ✅Se você já pensou isso,...",inactive,444,actions:link_click,0.30704955,44,Diário,136.33,15036,12350,Contínuo,"Clique de 7 dias ou visualização de 1 dia"
2024-07-01,2026-05-06,"Publicação do Instagram: O cansaço pode estar...",completed,41,actions:link_click,1.19439024,49,Total,48.97,2256,2033,2025-07-05,"Clique de 7 dias ou visualização de 1 dia"
2024-07-01,2026-05-06,"Publicação do Instagram: 🧬⬆️OTIMIZE A SUA SAÚDE...",completed,91,actions:link_click,0.74571429,68,Total,67.86,5126,4003,2025-07-06,"Clique de 7 dias ou visualização de 1 dia"
2024-07-01,2026-05-06,"Publicação do Instagram: De uma forma...",archived,57,actions:link_click,0.59508772,49,Diário,33.92,4688,4408,2025-07-06,"Clique de 7 dias ou visualização de 1 dia"
2024-07-01,2026-05-06,"Publicação do Instagram: A real é que suplemento...",inactive,329,actions:link_click,0.22358663,220,Total,73.56,13200,12217,2025-07-13,"Clique de 7 dias ou visualização de 1 dia"
2024-07-01,2026-05-06,"AUL GEL DE CARBOIDRATO",inactive,9,actions:onsite_conversion.messaging_conversation_started_7d,7.71111111,"Usando o orçamento do conjunto de anúncios",0,69.4,2835,2549,Contínuo,"Clique de 7 dias ou visualização de 1 dia"
2024-07-01,2026-05-06,"VÍDEO 2º SEMESTRE - ROTINA ATLETA",inactive,,,,30,Diário,86.07,3024,2019,Contínuo,"Clique de 7 dias ou visualização de 1 dia"
2024-07-01,2026-05-06,"Publicação do Instagram: 🚨 ATLETA, CUIDADO!
Você...",inactive,832,actions:link_click,0.16414663,17,Diário,136.57,19506,15356,Contínuo,"Clique de 7 dias ou visualização de 1 dia"
2024-07-01,2026-05-06,"Publicação do Instagram: O que os ciclistas do...",inactive,229,actions:link_click,0.38930131,11,Diário,89.15,11183,6159,Contínuo,"Clique de 7 dias ou visualização de 1 dia"
2024-07-01,2026-05-06,"Publicação do Instagram: 🚨 ATLETA, CUIDADO!
Você...",inactive,598,actions:link_click,0.39802676,39,Diário,238.02,24252,17689,Contínuo,"Clique de 7 dias ou visualização de 1 dia"
2024-07-01,2026-05-06,"Publicação do Instagram: Digite “ AULA “ ⬇️⬇️⬇️...",inactive,135,actions:link_click,0.62822222,85,Total,84.81,5806,5441,2025-07-23,"Clique de 7 dias ou visualização de 1 dia"
2024-07-01,2026-05-06,"Publicação do Instagram: A aula “ Desvendando os...",inactive,138,actions:link_click,0.40384058,56,Total,55.73,4658,4090,2025-07-23,"Clique de 7 dias ou visualização de 1 dia"
2024-07-01,2026-05-06,"Publicação do Instagram: 🚨 ATLETA, CUIDADO!
Você...",completed,286,actions:link_click,0.19304196,56,Total,55.21,7862,7277,2025-07-23,"Clique de 7 dias ou visualização de 1 dia"
2024-07-01,2026-05-06,"Publicação do Instagram: Digite “ AULA “ ⬇️⬇️⬇️...",inactive,40,actions:link_click,1.2705,51,Total,50.82,3426,3081,2025-07-24,"Clique de 7 dias ou visualização de 1 dia"
2024-07-01,2026-05-06,"Publicação do Instagram: 🚨 Será que o gel que...",inactive,136,actions:link_click,0.33080882,45,Total,44.99,7245,6398,2025-07-24,"Clique de 7 dias ou visualização de 1 dia"
2024-07-01,2026-05-06,"Publicação do Instagram: 🎯 TRIATLETAS ,...",completed,44,actions:link_click,1.35931818,68,Total,59.81,3131,3090,2025-08-02,"Clique de 7 dias ou visualização de 1 dia"
2024-07-01,2026-05-06,"Publicação do Instagram: 🎯 TRIATLETAS ,...",completed,73,actions:link_click,0.90794521,68,Total,66.28,3877,3601,2025-08-02,"Clique de 7 dias ou visualização de 1 dia"
2024-07-01,2026-05-06,"AGENDAMENTO CONSULTA JULHO 2025 - IRONMANFULL E 70.3",inactive,15179,profile_visit_view,0.36418671,"Usando o orçamento do conjunto de anúncios",0,5527.99,540813,251284,Contínuo,"Clique de 1 dia"
2024-07-01,2026-05-06,"ELETRÓLITOS - AGOSTO",inactive,423,actions:offsite_conversion.fb_pixel_add_to_cart,1.44706856,"Usando o orçamento do conjunto de anúncios",0,612.11,43455,20242,Contínuo,"Clique de 7 dias, visualização de 1 dia ou visualização com engajamento de 1 dia"
2024-07-01,2026-05-06,"Post do Instagram: 🔈Chamada 70.3 São Paulo,...",completed,20,actions:onsite_conversion.messaging_conversation_started_7d,5.4935,110,Total,109.87,3813,2060,2025-08-14,"Clique de 7 dias ou visualização de 1 dia"
2024-07-01,2026-05-06,"70.3 OU FULL",inactive,61,actions:onsite_conversion.messaging_conversation_started_7d,5.64704918,"Usando o orçamento do conjunto de anúncios",0,344.47,15240,8310,Contínuo,"Clique de 7 dias ou visualização de 1 dia"
2024-07-01,2026-05-06,"Post do Instagram: 🧬⬆️OTIMIZE A SUA SAÚDE PARA...",completed,103,actions:link_click,0.65883495,68,Total,67.86,5053,4046,2025-08-11,"Clique de 7 dias ou visualização de 1 dia"
2024-07-01,2026-05-06,"AGENDAMENTO CONSULTA - AGOSTO",archived,450,actions:link_click,0.25942222,"Usando o orçamento do conjunto de anúncios",0,116.74,12127,9937,2025-08-30,"Clique de 7 dias ou visualização de 1 dia"
2024-07-01,2026-05-06,"Post do Instagram: 🎯 TRIATLETAS , CORREDORES,...",completed,108,actions:link_click,0.77731481,84,Total,83.95,5628,4694,2025-08-26,"Clique de 7 dias ou visualização de 1 dia"
2024-07-01,2026-05-06,"Post do Instagram: 🚴‍♂️🏊‍♀️🏃‍♂️ Treina, descansa,...",inactive,183,actions:link_click,0.24021858,44,Total,43.96,4874,4235,2025-08-24,"Clique de 7 dias ou visualização de 1 dia"
2024-07-01,2026-05-06,"Post do Instagram: 🏊‍♀️🚴‍♀️🏃Triatletas,...",inactive,177,actions:link_click,0.31163842,16,Diário,55.16,5241,4684,Contínuo,"Clique de 7 dias ou visualização de 1 dia"
2024-07-01,2026-05-06,"MEIA MARATONA E MARATONA",archived,244,actions:link_click,0.26737705,"Usando o orçamento do conjunto de anúncios",0,65.24,5100,4105,2025-08-30,"Clique de 7 dias ou visualização de 1 dia"
2024-07-01,2026-05-06,"DIRETO WHATSAPP - MEIA MARATONA E MARATONA",inactive,14,actions:onsite_conversion.messaging_conversation_started_7d,4.72142857,20,Diário,66.1,2850,1693,Contínuo,"Clique de 7 dias ou visualização de 1 dia"
2024-07-01,2026-05-06,"PERIODIÇÃO NUTRICIONAL -  30 DE AGOSTO",inactive,40,actions:link_click,1.0625,"Usando o orçamento do conjunto de anúncios",0,42.5,3530,3345,2025-09-01,—
2024-07-01,2026-05-06,"PERIODIÇÃO NUTRICIONAL -  30 DE AGOSTO — Cópia",inactive,42,actions:link_click,0.98261905,"Usando o orçamento do conjunto de anúncios",0,41.27,3413,3182,2025-09-01,—
2024-07-01,2026-05-06,"Post do Instagram: DIGITE POTÊNCIA ⬇️Para falar...",inactive,132,actions:link_click,0.65212121,220,Total,86.08,6386,4891,2025-09-10,"Clique de 7 dias ou visualização de 1 dia"
2024-07-01,2026-05-06,"Post do Instagram: A periodização nutricional é a...",inactive,108,actions:link_click,0.49935185,230,Total,53.93,5330,4399,2025-09-12,"Clique de 7 dias ou visualização de 1 dia"
2024-07-01,2026-05-06,"Post do Instagram: DIGITE POTÊNCIA ⬇️Para falar...",inactive,2,actions:onsite_conversion.messaging_conversation_started_7d,17.32,96,Total,34.64,1367,713,2025-09-08,"Clique de 7 dias ou visualização de 1 dia"
2024-07-01,2026-05-06,"ELETRÓLITOS - AGOSTO — Cópia",inactive,136,actions:offsite_conversion.fb_pixel_add_to_cart,1.19007353,30,Diário,161.85,10901,6822,Contínuo,"Clique de 7 dias, visualização de 1 dia ou visualização com engajamento de 1 dia"
2024-07-01,2026-05-06,"AGENDAMENTO SETEMBRO",inactive,411,profile_visit_view,0.42673966,"Usando o orçamento do conjunto de anúncios",0,175.39,20396,17527,Contínuo,"Clique de 1 dia"
2024-07-01,2026-05-06,"Post do Instagram: Trago a ciência , não minha...",completed,67,actions:link_click,0.65567164,44,Total,43.93,4929,3580,2025-09-15,"Clique de 7 dias ou visualização de 1 dia"
2024-07-01,2026-05-06,"CÓPIA - 70.3 X IRONMAN FULL",inactive,3212,profile_visit_view,0.38862702,"Usando o orçamento do conjunto de anúncios",0,1248.27,116477,69290,Contínuo,"Clique de 1 dia"
2024-07-01,2026-05-06,"Post do Instagram: 🔴Durante treinos longos, seu...",inactive,75,actions:link_click,0.61906667,11,Diário,46.43,3860,2693,Contínuo,"Clique de 7 dias ou visualização de 1 dia"
2024-07-01,2026-05-06,"Post do Instagram: Todo atleta que sonha com um...",inactive,77,actions:link_click,0.70896104,13,Diário,54.59,3184,2570,Contínuo,"Clique de 7 dias ou visualização de 1 dia"
2024-07-01,2026-05-06,"Post do Instagram: A periodização nutricional é a...",inactive,122,actions:link_click,0.82336066,230,Total,100.45,7576,5740,2025-11-23,"Clique de 7 dias ou visualização de 1 dia"
2024-07-01,2026-05-06,"Post do Instagram: ( não tem tem lanche né?)...",completed,194,actions:link_click,0.29365979,57,Total,56.97,6122,4869,2025-11-16,"Clique de 7 dias ou visualização de 1 dia"
2024-07-01,2026-05-06,"Post do Instagram: 🎯 TRIATLETAS , CORREDORES,...",completed,93,actions:link_click,0.90225806,84,Total,83.91,4042,3376,2025-11-16,"Clique de 7 dias ou visualização de 1 dia"
2024-07-01,2026-05-06,"DEZEMBRO 2025",inactive,2926,profile_visit_view,0.41144908,"Usando o orçamento do conjunto de anúncios",0,1203.9,90443,60022,Contínuo,"Clique de 1 dia"
2024-07-01,2026-05-06,"DEZEMBRO  - 70.3 E FULL",inactive,2566,profile_visit_view,0.36261107,"Usando o orçamento do conjunto de anúncios",0,930.46,65653,45303,Contínuo,"Clique de 1 dia"
2024-07-01,2026-05-06,"Post do Instagram: ✨70.3 Aracaju , a palavra é...",inactive,366,actions:link_click,0.1757377,65,Total,64.32,6087,5377,2025-11-30,"Clique de 7 dias ou visualização de 1 dia"
2024-07-01,2026-05-06,"Post do Instagram: ( não tem tem lanche né?)...",inactive,45,actions:link_click,0.11866667,112,Total,5.34,892,869,2026-01-02,"Clique de 7 dias ou visualização de 1 dia"
2024-07-01,2026-05-06,"WHATSAPP - JANEIRO 2026.",inactive,308,actions:onsite_conversion.messaging_conversation_started_7d,7.37720779,28,Diário,2272.18,106312,36940,Contínuo,"Clique de 7 dias ou visualização de 1 dia"
2024-07-01,2026-05-06,KZ_LEADS-WPP_Profissoes,inactive,512,actions:onsite_conversion.messaging_conversation_started_7d,7.74181641,10,Diário,3963.81,213497,45793,Contínuo,"Clique de 7 dias ou visualização de 1 dia"
2024-07-01,2026-05-06,"REMARKETING JANEIRO 2026",archived,,,,"Usando o orçamento do conjunto de anúncios",0,1104.15,74242,25621,2026-01-30,"Clique de 7 dias, visualização de 1 dia ou visualização com engajamento de 1 dia"
2024-07-01,2026-05-06,"JANEIRO 2026",inactive,9544,profile_visit_view,0.39287825,"Usando o orçamento do conjunto de anúncios",0,3749.63,385167,166946,Contínuo,"Clique de 1 dia"
2024-07-01,2026-05-06,KZ_BRANDING_F_VisitasAoPerfil,active,10246,profile_visit_view,0.21752684,"Usando o orçamento do conjunto de anúncios",0,2228.78,288667,169385,Contínuo,"Clique de 1 dia"
2024-07-01,2026-05-06,"PÚBLICO FRIO - DIRETO PERFIL — Cópia",inactive,52,actions:onsite_conversion.messaging_conversation_started_7d,21.02980769,"Usando o orçamento do conjunto de anúncios",0,1093.55,22487,9785,Contínuo,"Clique de 7 dias ou visualização de 1 dia"
2024-07-01,2026-05-06,"ELETRÓLITOS FEVEREIRO 2026",inactive,257,actions:offsite_conversion.fb_pixel_add_to_cart,1.11996109,30,Diário,287.83,28974,16406,Contínuo,"Clique de 7 dias, visualização de 1 dia ou visualização com engajamento de 1 dia"
2024-07-01,2026-05-06,"PÚBLICO FRIO - MARÇO - PDFS",inactive,20,actions:onsite_conversion.messaging_conversation_started_7d,13.897,50,Diário,277.94,22532,19376,Contínuo,"Clique de 7 dias ou visualização de 1 dia"
2024-07-01,2026-05-06,"TRIATLETA CANSADO - SEGUIDORES",inactive,2448,profile_visit_view,0.13888889,"Usando o orçamento do conjunto de anúncios",0,340,53513,32196,Contínuo,"Clique de 1 dia"
2024-07-01,2026-05-06,KZ_LEADS-FORM-F_Triatleta,active,191,actions:leadgen.other,8.85921466,"Usando o orçamento do conjunto de anúncios",0,1692.11,88752,31517,Contínuo,"Clique de 7 dias ou visualização de 1 dia"
2024-07-01,2026-05-06,KZ_LEADS-FORM-F_Triatleta-02,active,16,actions:leadgen.other,14.628125,"Usando o orçamento do conjunto de anúncios",0,234.05,9295,6320,Contínuo,"Clique de 7 dias ou visualização de 1 dia"
2024-07-01,2026-05-06,KZ_VV-Q-06-05-2026,active,31,video_thruplay_watched_actions,0.00387097,10,Diário,0.12,331,331,Contínuo,"Clique de 7 dias ou visualização de 1 dia"
